economy;time;TM.UVI.MRCH.XD.WD;TX.UVI.MRCH.XD.WD
ABW;YR1996;;
ABW;YR1997;;
ABW;YR1998;;
ABW;YR1999;;
ABW;YR2000;55.2;31.8
ABW;YR2001;54.4;29.1
ABW;YR2002;53.9;27.7
ABW;YR2003;59.6;32.7
ABW;YR2004;72.6;41.6
ABW;YR2005;95.4;60.5
ABW;YR2006;108.7;71.5
ABW;YR2007;117.9;77.4
ABW;YR2008;140.8;99.2
ABW;YR2009;114.1;62.0
ABW;YR2010;121.4;75.1
ABW;YR2011;140.4;92.5
ABW;YR2012;141.3;95.0
ABW;YR2013;140.6;80.6
ABW;YR2014;137.4;150.9
ABW;YR2015;100.0;100.0
ABW;YR2016;90.5;59.1
ABW;YR2017;99.3;67.6
ABW;YR2018;108.3;71.8
ABW;YR2019;106.4;109.4
ABW;YR2020;104.1;97.2
ABW;YR2021;115.4;158.4
ABW;YR2022;134.7;98.1
ABW;YR2023;122.7;97.4
ABW;YR2024;131.5;124.8
AFE;YR1996;;
AFE;YR1997;;
AFE;YR1998;;
AFE;YR1999;;
AFE;YR2000;;
AFE;YR2001;;
AFE;YR2002;;
AFE;YR2003;;
AFE;YR2004;;
AFE;YR2005;;
AFE;YR2006;;
AFE;YR2007;;
AFE;YR2008;;
AFE;YR2009;;
AFE;YR2010;;
AFE;YR2011;;
AFE;YR2012;;
AFE;YR2013;;
AFE;YR2014;;
AFE;YR2015;;
AFE;YR2016;;
AFE;YR2017;;
AFE;YR2018;;
AFE;YR2019;;
AFE;YR2020;;
AFE;YR2021;;
AFE;YR2022;;
AFE;YR2023;;
AFE;YR2024;;
AFG;YR1996;;
AFG;YR1997;;
AFG;YR1998;;
AFG;YR1999;;
AFG;YR2000;71.5;56.0
AFG;YR2001;68.7;63.5
AFG;YR2002;67.5;61.6
AFG;YR2003;71.5;61.5
AFG;YR2004;77.1;73.7
AFG;YR2005;82.7;80.5
AFG;YR2006;87.3;89.2
AFG;YR2007;92.9;102.5
AFG;YR2008;105.8;112.7
AFG;YR2009;93.6;100.8
AFG;YR2010;100.0;115.3
AFG;YR2011;114.9;133.8
AFG;YR2012;115.1;126.7
AFG;YR2013;114.2;119.8
AFG;YR2014;112.9;116.6
AFG;YR2015;100.0;100.0
AFG;YR2016;100.7;105.9
AFG;YR2017;105.9;109.3
AFG;YR2018;110.1;113.2
AFG;YR2019;105.4;102.8
AFG;YR2020;103.3;114.8
AFG;YR2021;126.5;127.2
AFG;YR2022;152.5;146.4
AFG;YR2023;145.1;143.0
AFG;YR2024;142.1;152.9
AFW;YR1996;;
AFW;YR1997;;
AFW;YR1998;;
AFW;YR1999;;
AFW;YR2000;;
AFW;YR2001;;
AFW;YR2002;;
AFW;YR2003;;
AFW;YR2004;;
AFW;YR2005;;
AFW;YR2006;;
AFW;YR2007;;
AFW;YR2008;;
AFW;YR2009;;
AFW;YR2010;;
AFW;YR2011;;
AFW;YR2012;;
AFW;YR2013;;
AFW;YR2014;;
AFW;YR2015;;
AFW;YR2016;;
AFW;YR2017;;
AFW;YR2018;;
AFW;YR2019;;
AFW;YR2020;;
AFW;YR2021;;
AFW;YR2022;;
AFW;YR2023;;
AFW;YR2024;;
AGO;YR1996;80.6;50.9
AGO;YR1997;78.3;39.0
AGO;YR1998;75.2;24.3
AGO;YR1999;81.4;35.6
AGO;YR2000;77.5;56.6
AGO;YR2001;74.4;49.7
AGO;YR2002;74.8;50.4
AGO;YR2003;78.4;58.1
AGO;YR2004;82.8;73.5
AGO;YR2005;84.3;102.3
AGO;YR2006;87.7;119.7
AGO;YR2007;93.1;132.5
AGO;YR2008;100.9;170.2
AGO;YR2009;95.2;111.5
AGO;YR2010;99.6;140.8
AGO;YR2011;110.6;185.6
AGO;YR2012;109.9;188.5
AGO;YR2013;108.4;184.5
AGO;YR2014;108.3;172.1
AGO;YR2015;100.0;100.0
AGO;YR2016;99.1;86.4
AGO;YR2017;102.8;103.3
AGO;YR2018;106.3;126.3
AGO;YR2019;104.9;113.4
AGO;YR2020;103.6;78.9
AGO;YR2021;116.3;136.1
AGO;YR2022;131.7;197.6
AGO;YR2023;127.0;157.1
AGO;YR2024;124.8;148.3
ALB;YR1996;;
ALB;YR1997;;
ALB;YR1998;;
ALB;YR1999;;
ALB;YR2000;68.6;80.5
ALB;YR2001;68.6;79.6
ALB;YR2002;68.2;79.1
ALB;YR2003;73.0;80.8
ALB;YR2004;79.0;85.8
ALB;YR2005;83.9;90.1
ALB;YR2006;88.2;97.9
ALB;YR2007;94.8;104.1
ALB;YR2008;108.7;108.5
ALB;YR2009;96.7;100.0
ALB;YR2010;102.5;106.6
ALB;YR2011;116.1;120.1
ALB;YR2012;112.9;119.5
ALB;YR2013;111.6;117.5
ALB;YR2014;106.8;115.8
ALB;YR2015;100.0;100.0
ALB;YR2016;97.5;96.6
ALB;YR2017;99.1;102.5
ALB;YR2018;105.7;106.7
ALB;YR2019;102.9;104.0
ALB;YR2020;101.0;101.7
ALB;YR2021;117.0;117.0
ALB;YR2022;113.6;131.3
ALB;YR2023;160.2;122.0
ALB;YR2024;156.9;120.7
AND;YR1996;;
AND;YR1997;;
AND;YR1998;;
AND;YR1999;;
AND;YR2000;84.2;94.9
AND;YR2001;83.0;93.3
AND;YR2002;81.4;92.4
AND;YR2003;84.3;94.1
AND;YR2004;88.9;95.4
AND;YR2005;93.1;103.4
AND;YR2006;96.1;116.9
AND;YR2007;99.6;107.6
AND;YR2008;106.3;110.7
AND;YR2009;99.0;106.2
AND;YR2010;102.8;110.7
AND;YR2011;110.1;117.1
AND;YR2012;112.0;117.1
AND;YR2013;110.2;115.8
AND;YR2014;110.2;114.3
AND;YR2015;100.0;100.0
AND;YR2016;98.6;102.6
AND;YR2017;101.5;103.8
AND;YR2018;105.2;103.5
AND;YR2019;105.2;102.4
AND;YR2020;103.9;105.1
AND;YR2021;114.8;109.5
AND;YR2022;126.8;116.5
AND;YR2023;123.7;117.1
AND;YR2024;123.5;118.8
ARB;YR1996;;
ARB;YR1997;;
ARB;YR1998;;
ARB;YR1999;;
ARB;YR2000;;
ARB;YR2001;;
ARB;YR2002;;
ARB;YR2003;;
ARB;YR2004;;
ARB;YR2005;;
ARB;YR2006;;
ARB;YR2007;;
ARB;YR2008;;
ARB;YR2009;;
ARB;YR2010;;
ARB;YR2011;;
ARB;YR2012;;
ARB;YR2013;;
ARB;YR2014;;
ARB;YR2015;;
ARB;YR2016;;
ARB;YR2017;;
ARB;YR2018;;
ARB;YR2019;;
ARB;YR2020;;
ARB;YR2021;;
