period;cmd;country;nb_edge_exp;nb_edge_imp;primary_value_exp;primary_value_imp;net_wgt_exp;net_wgt_imp;exp_share;imp_share;primary_value_per_partner_exp;primary_value_per_partner_imp;net_wgt_per_partner_exp;net_wgt_per_partner_imp
1996;01;Afghanistan;0;2;0.0;0.0;0.0;0.0;;;;0.0;;0.0
1996;01;Albania;1;2;0.0;124353.0;0.0;436449.0;0.0;1.0;0.0;62176.5;0.0;218224.5
1996;01;Algeria;1;5;0.0;5265876.0;0.0;14300009.0;0.0;1.0;0.0;1053175.2;0.0;2860001.8
1996;01;Andorra;1;1;16049.0;72972.0;400875.0;96709.0;0.18028330393951988;0.8197166960604801;16049.0;72972.0;400875.0;96709.0
1996;01;Angola;1;2;0.0;0.0;0.0;0.0;;;0.0;0.0;0.0;0.0
1996;01;Antigua and Barbuda;0;1;0.0;0.0;0.0;0.0;;;;0.0;;0.0
1996;01;Argentina;9;4;24832592.0;71828.0;441800398.0;145112.0;0.9971158533304529;0.002884146669547012;2759176.888888889;17957.0;49088933.11111111;36278.0
1996;01;Armenia;0;1;0.0;0.0;0.0;0.0;;;;0.0;;0.0
1996;01;Aruba;0;3;0.0;0.0;0.0;0.0;;;;0.0;;0.0
1996;01;Australia;23;13;23647521.0;979291.0;288467652.0;724437.0;0.9602347636389151;0.039765236361084824;1028153.0869565217;75330.07692307692;12542071.826086957;55725.92307692308
1996;01;Azerbaijan;2;3;3479.0;378390.0;61800.0;3424000.0;0.009110454108607925;0.9908895458913921;1739.5;126130.0;30900.0;1141333.3333333333
1996;01;Bahamas;1;1;0.0;0.0;0.0;0.0;;;0.0;0.0;0.0;0.0
1996;01;Bahrain;1;1;0.0;0.0;0.0;0.0;;;0.0;0.0;0.0;0.0
1996;01;Bangladesh;1;7;0.0;1052672.0;0.0;132143861.0;0.0;1.0;0.0;150381.7142857143;0.0;18877694.42857143
1996;01;Barbados;0;2;0.0;0.0;0.0;0.0;;;;0.0;;0.0
1996;01;Belarus;5;2;0.0;0.0;0.0;0.0;;;0.0;0.0;0.0;0.0
1996;01;Belize;1;2;0.0;1775.0;0.0;1375.0;0.0;1.0;0.0;887.5;0.0;687.5
1996;01;Benin;2;0;0.0;0.0;0.0;0.0;;;0.0;;0.0;
1996;01;Bermuda;0;1;0.0;0.0;0.0;0.0;;;;0.0;;0.0
1996;01;Bhutan;1;0;0.0;0.0;0.0;0.0;;;0.0;;0.0;
1996;01;Bolivia (Plurinational State of);5;1;10873.0;51154.0;39761.0;43800.0;0.1752946297580086;0.8247053702419914;2174.6;51154.0;7952.2;43800.0
1996;01;Bosnia Herzegovina;3;3;0.0;0.0;0.0;0.0;;;0.0;0.0;0.0;0.0
1996;01;Br. Virgin Isds;1;1;0.0;0.0;0.0;0.0;;;0.0;0.0;0.0;0.0
1996;01;Brazil;13;7;25608458.0;386278.0;364810041.0;4979478.0;0.9851401452971094;0.014859854702890616;1969881.3846153845;55182.57142857143;28062310.846153848;711354.0
1996;01;Brunei Darussalam;0;2;0.0;0.0;0.0;0.0;;;;0.0;;0.0
1996;01;Burkina Faso;0;1;0.0;615.0;0.0;6000.0;0.0;1.0;;615.0;;6000.0
1996;01;Burundi;1;0;0.0;0.0;0.0;0.0;;;0.0;;0.0;
1996;01;Cabo Verde;0;1;0.0;0.0;0.0;0.0;;;;0.0;;0.0
1996;01;Cambodia;5;0;0.0;0.0;0.0;0.0;;;0.0;;0.0;
1996;01;Cameroon;24;1;42829739.0;110259.0;283923696.0;883375.0;0.9974322541887403;0.0025677458112597024;1784572.4583333333;110259.0;11830154.0;883375.0
1996;01;Canada;28;20;109455103.0;279489022.0;258596250.0;986471375.0;0.28141600801914674;0.7185839919808533;3909110.8214285714;13974451.1;9235580.357142856;49323568.75
1996;01;Cayman Isds;0;1;0.0;0.0;0.0;0.0;;;;0.0;;0.0
1996;01;Central African Rep.;3;1;3870630.0;447625.0;12351406.0;1228562.0;0.8963412304275685;0.10365876957243146;1290210.0;447625.0;4117135.3333333335;1228562.0
1996;01;Chile;17;5;115488824.0;123156.0;1157420835.0;169299.0;0.9989347470737894;0.0010652529262105883;6793460.235294118;24631.2;68083578.52941176;33859.8
