period;cmd;weight;tot_exp;tot_imp;hhi_exp;hhi_imp;shannon_exp;shannon_imp
1996;01;primary_value;4905840373.0;8718686939.0;0.25910769972903314;0.2983741224454359;1.8869850399850807;1.7973163005308535
1997;01;primary_value;5286189057.0;8393410664.0;0.1837154638813067;0.2445965929163184;2.1255580368501126;1.9539034796714223
1998;01;primary_value;4220656948.0;6291039177.0;0.17459695237808487;0.1981625570948285;2.167399286579883;2.069615219996878
1999;01;primary_value;4903513021.0;7355505449.0;0.1667057565016057;0.17936234314125274;2.161187063770282;2.122116732676475
2000;01;primary_value;5419084406.778;8236597920.39;0.16059963698763774;0.1707727810280257;2.2173369418591777;2.167532927690103
2001;01;primary_value;4750468283.734;7573829859.066;0.17731376313628244;0.16671603217746525;2.167523627245969;2.171961962786897
2002;01;primary_value;4962808698.313;7603016413.163;0.19211004471423362;0.17331303644078117;2.100821200037309;2.157557363332355
2003;01;primary_value;5123949750.898;8312050488.242;0.2028039141854538;0.17679584408100998;2.058511787876843;2.12191823624001
2004;01;primary_value;6059805393.66;9705873261.561;0.22212512930155479;0.17594467842549968;2.018173887570496;2.097283758213436
2005;01;primary_value;6926608443.163;10239280019.07;0.23282250199393642;0.17916538489968795;1.9724174439159339;2.1201306291106965
2006;01;primary_value;7513512098.612;11105833398.346;0.24161221656289303;0.19647349715017057;1.986766864688324;2.0654095423458574
2007;01;primary_value;9209460014.883;13373030568.210001;0.24764359203527816;0.22258795251267188;2.022213512838973;1.9762639932584187
2008;01;primary_value;8401903065.082;12578230773.884;0.2264021174610821;0.22529481663167297;2.066762966273893;2.012148416452209
2009;01;primary_value;6006727617.25;8557419204.91;0.16910126399369468;0.27028586613027156;2.2372122337201152;1.8552366773713
2010;01;primary_value;7821969937.93;11492445657.989;0.14374052594625875;0.3127378731335892;2.363109698480086;1.7668129793194023
2011;01;primary_value;9457530892.186;14582061960.801;0.13436015471828475;0.3526333666872102;2.439447699851464;1.6373771262391268
2012;01;primary_value;9467193064.172;13323866358.778;0.13302701925351476;0.3317972884101191;2.390675683692883;1.6844350292219288
