period;cmd;nb_edge_exp;nb_edge_imp;mean_exp;mean_imp;var_exp;var_imp;skew_exp;skew_imp;kurt_exp;kurt_imp
1996;01;858;858;7.460869565217391;5.758389261744966;121.83107750472585;107.9282014323679;4.276866335468183;4.126401477212575;22.930821660830055;20.851226925553572
1997;01;917;917;7.516393442622951;6.50354609929078;115.70874764848159;126.77481012021526;4.094431166360282;4.08161071159925;21.144570199285752;20.479326874286684
1998;01;925;925;7.708333333333333;6.125827814569536;139.15659722222225;109.44774352002108;4.697004065531203;4.119924909366348;26.998064045640376;20.661407029862158
1999;01;986;986;7.584615384615384;6.529801324503311;136.1351479289941;137.07030393403798;4.49653634459382;4.027535864417386;25.535314817745018;19.414636184340925
2000;01;1119;1119;8.227941176470589;6.907407407407407;150.14657223183391;146.62722908093278;4.339719876341725;4.156067576502876;24.45521497275097;21.654435918792505
2001;01;1116;1116;8.584615384615384;6.975;147.93514792899404;140.511875;4.075829411172412;4.066706671281112;21.555721746599872;20.098940129306754
2002;01;1213;1213;8.086666666666666;7.396341463414634;146.63915555555553;154.16608417608566;4.165337066751644;4.15683610848847;22.428424803170543;21.979452614496395
2003;01;1215;1215;8.804347826086957;7.363636363636363;146.2298361688721;155.23746556473833;3.874477452998156;4.108719723943706;19.646904504097854;20.85348100348234
2004;01;1251;1251;8.748251748251748;7.536144578313253;148.70585358697247;164.2005007983742;3.927444820968178;4.14585127833876;20.380307896609644;20.94306696713509
2005;01;1295;1295;9.25;7.485549132947977;169.00178571428572;157.6833171840021;3.7040690799646763;3.7598767134004265;17.824803185464955;16.865545674695923
2006;01;1328;1328;9.418439716312056;7.632183908045977;169.5908656506212;151.58884925353414;3.775053773578917;3.7463679521977022;19.122728237174687;17.054329866409223
2007;01;1396;1396;9.561643835616438;8.06936416184971;175.30099455807846;163.0703331217214;3.707453546151189;3.688725841188089;18.384540098715508;16.188033498953605
2008;01;1422;1422;9.944055944055943;8.125714285714286;187.11575138148564;172.9213387755102;3.834985331897548;4.001767291101762;20.0462347878074;19.61597383818889
2009;01;1264;1264;9.648854961832061;7.614457831325301;169.54081929957462;147.7067789229206;4.181949107777839;4.006711174085013;23.080893421494228;19.17732413468439
2010;01;1295;1295;9.736842105263158;7.485549132947977;178.6901464186783;146.87406862908884;3.903128001497729;3.865104475953758;19.92817179136944;17.5903083634171
2011;01;1318;1318;9.691176470588236;7.662790697674419;183.49286332179932;169.29326663061113;4.11924460728855;4.028098047018853;22.248427166408902;18.631348254940743
2012;01;1283;1283;9.574626865671641;7.373563218390805;176.91607262196482;155.76274937244023;4.061612113189508;4.0659231408564604;21.55417352804373;19.13332308702059
2013;01;1293;1293;9.649253731343284;7.605882352941176;176.2277233236801;159.96820069204148;4.178339515962438;3.7158568308587663;22.71709308700283;16.294941195081385
2014;01;1262;1262;9.211678832116789;7.170454545454546;184.06468112312857;144.08458161157023;4.378129509787111;3.9704120299744043;24.662164619232545;18.449168198142928
2015;01;1300;1300;10.0;7.386363636363637;187.3846153846154;159.36208677685946;4.054988397236059;3.7567282488070877;21.45536472615205;16.49452380183593
2016;01;1255;1255;9.8046875;7.296511627906977;180.70404052734375;138.08068550567876;3.9205453841788764;3.5239147616460462;20.454530787272198;14.08120787684205
2017;01;1156;1156;8.691729323308271;6.531073446327683;158.46887896432813;139.53717003415366;4.319504071677675;4.127594112441526;24.241870112367664;19.51596690931442
2018;01;1220;1220;9.53125;6.9714285714285715;173.8583984375;139.7534693877551;3.820026442222122;3.868308982323009;19.07252778691593;17.531952100915976
2019;01;1217;1217;9.5078125;7.201183431952662;168.87493896484375;137.50982108469591;3.7425810210078514;3.848420032803224;18.69767933401513;17.27395558008812
2020;01;1062;1062;8.704918032786885;6.475609756097561;142.73259876377315;121.67623438429506;3.683936907239397;4.2015584936410475;17.256371560936202;20.65234072292902
2021;01;1159;1159;9.422764227642276;6.777777777777778;157.54484764359833;128.26640675763485;3.80906103476484;4.034147127758209;18.770551663482703;18.656621140667603
2022;01;1163;1163;9.015503875968992;7.048484848484849;164.24782164533383;132.34916437098252;4.216014132934639;3.9687250697412018;22.487712206579143;17.7965333404476
2023;01;1099;1099;8.862903225806452;6.3895348837209305;172.29572060353797;115.10989048134127;4.484550461812974;4.076131019956403;24.660773667801347;18.905852844224693
1996;05;1571;1571;11.06338028169014;8.875706214689265;303.115701249752;172.92240416227776;3.9569329011574825;4.366257972004984;20.659214047112958;26.32295571583969
1997;05;1710;1710;11.476510067114093;9.5;301.0548173505698;191.47222222222223;3.612353771954993;4.081410669486027;17.05006711352609;23.294464478888912
1998;05;1780;1780;12.624113475177305;9.834254143646408;346.39062421407374;184.65761118402983;3.664350584993108;4.277651587351833;17.919907552078996;26.561450606966957
1999;05;1896;1896;12.0;10.533333333333333;339.2911392405063;207.49333333333334;3.5200789905220775;3.8390696886195936;16.400062664518444;20.212162734667015
2000;05;2179;2179;13.368098159509202;11.348958333333334;381.6191049719598;226.35218641493054;3.3346826283660063;3.761595550915744;15.200455960452224;20.81120484234405
2001;05;2294;2294;13.654761904761905;12.010471204188482;390.3212868480726;247.25643485650068;3.084860504292342;3.5416987748762327;13.071066613331737;18.497209544461327
2002;05;2308;2308;13.576470588235294;11.896907216494846;371.5265051903114;248.95844404293763;3.0917133252726194;3.4741625517850276;12.97774415512458;17.83621885116715
2003;05;2397;2397;14.615853658536585;12.355670103092784;413.45609012492554;261.0642204272505;2.9239101375308025;3.4409358139258464;11.777608771149739;17.205861226517914
2004;05;2550;2550;15.74074074074074;13.212435233160623;449.08093278463656;263.13103707482077;2.8678367940962706;3.0771196517538044;11.262173945525907;13.93315687697557
2005;05;2677;2677;16.224242424242423;13.658163265306122;469.70123048668506;270.21478029987503;2.64137280466802;2.948313506853488;9.215187817702231;12.866397567205384
2006;05;2732;2732;16.457831325301203;13.868020304568528;484.85063144142845;269.2617691772527;2.7731088313506675;2.611585181474762;10.076863230342322;9.88101134821772
2007;05;2821;2821;17.096969696969698;14.319796954314722;543.6390817263546;291.0297096034424;2.6096087494044675;2.664236997268574;8.439978759454476;10.047869081474184
2008;05;2917;2917;17.786585365853657;14.807106598984772;571.1434785841761;284.6937566028498;2.487762293941938;2.4164047956254167;7.675866764724935;8.103923697690488
2009;05;2717;2717;16.466666666666665;13.722222222222221;522.3458585858585;248.4733445566779;2.6297947669636383;2.5189882861870507;8.641763973008095;8.746987680941476
2010;05;2781;2781;17.061349693251532;14.116751269035532;545.5545184237269;250.18433868432578;2.5280252535607706;2.435017173401304;7.935917023822936;8.125047833797439
2011;05;2738;2738;17.664516129032258;13.898477157360405;545.2551925078044;254.81202813780308;2.4715003161139135;2.5098844809592222;7.590735798800633;8.132306121939415
2012;05;2788;2788;17.534591194968552;14.010050251256281;558.8777342668408;251.25618039948483;2.5291880517688727;2.3478996668140937;8.086476023154415;6.5774544101241315
