period;cmd;weight;tot_exp;tot_imp;hhi_exp;hhi_imp;shannon_exp;shannon_imp
1996;01;primary_value;6032548693.0;10214771948.0;0.1750469931380723;0.20828066615714372;2.5053903843945697;2.4502168758381533
1997;01;primary_value;6353434048.0;9977104457.0;0.1303627366837528;0.16322155976005093;2.6494654244790774;2.6192979480001743
1998;01;primary_value;5517834472.0;7998116622.0;0.10783412322223399;0.09979608665712922;2.8264562738663104;2.8971259963005984
1999;01;primary_value;6318937663.0;8943645713.0;0.10542574870369983;0.10752799218063329;2.812678095215305;2.828445196158319
2000;01;primary_value;6706243390.7960005;9921606484.127;0.10808337517486954;0.10251466085717569;2.8050568601761037;2.8617391122150933
2001;01;primary_value;5932799433.986;9058394945.783;0.11781143338562403;0.09844418734867762;2.7703659652239185;2.882116216859225
2002;01;primary_value;6377903111.394;9184384449.693;0.12232147446263944;0.10408860589290124;2.724719890444257;2.867707809906484
2003;01;primary_value;6588765858.643;10192402997.856;0.12727667963688968;0.1048536552318937;2.7314341889404403;2.844160270547435
2004;01;primary_value;7788665088.015;11822950999.459;0.13899960885945215;0.10554153848224045;2.7035420707753506;2.824360850289047
2005;01;primary_value;8955550022.334;12566669720.606;0.14457818674639794;0.10666476616877299;2.663817037182765;2.8552384498292644
2006;01;primary_value;9592220900.343;13586750740.619;0.15398359247446933;0.12084266291546673;2.6430481172438425;2.797934376563088
2007;01;primary_value;12124865007.861;16869497946.726;0.14857595382497057;0.13127905678034948;2.736178552323832;2.7646531024842727
2008;01;primary_value;11229360869.043;16002233299.36;0.13213535774732624;0.13565208017241512;2.813442764990102;2.743006010809411
2009;01;primary_value;7919348158.31;10884148754.919;0.10245649530338828;0.17014921552513998;2.914394289261284;2.5612375274384576
2010;01;primary_value;10351974648.114;14497366386.658;0.08651159011967921;0.1997548067770681;3.037114583660019;2.4647509504359855
2011;01;primary_value;12527118586.304;18069747111.475;0.08038628692801722;0.2323419836422805;3.1151439706731816;2.3331258043906136
2012;01;primary_value;12125641380.0;16307810224.001;0.08434816986182296;0.22398027178871477;3.028947202568506;2.345841093708249
