period;cmd;tot_nb_nodes;nb_main_exp;nb_main_imp;nb_balanced;tot_net_wgt;tot_primary_value;src_main_exp_net_wgt;src_main_exp_primary_value;src_main_imp_net_wgt;src_main_imp_primary_value;src_balanced_net_wgt;src_balanced_primary_value;tgt_main_exp_net_wgt;tgt_main_exp_primary_value;tgt_main_imp_net_wgt;tgt_main_imp_primary_value;tgt_balanced_net_wgt;tgt_balanced_primary_value
1996;01;192;64;92;36;58085727683.0;8845085468.0;45003227886.0;7188362753.0;1222983213.5;167838545.5;11859516583.5;1488884169.5;1696740201.0;166962426.0;35183730315.0;6724489085.0;21205257167.0;1953633957.0
1997;01;189;63;87;39;66216765055.5;8980308729.0;52224778524.0;7348646403.0;1662874847.0;153503132.0;12329111684.5;1478159194.0;2288154453.0;204410319.0;38077307960.5;6461846229.5;25851302642.0;2314052180.5
1998;01;192;65;85;42;64573475206.0;7344863852.5;46813448082.0;5323785341.0;2794508748.0;306023260.5;14965518376.0;1715055251.0;2050389971.0;200102862.5;44415525002.0;5258471769.0;18107560233.0;1886289221.0
1999;01;198;71;86;41;76651285567.0;8371744540.5;55608635648.0;6079665337.5;3138224038.5;277872195.0;17904425880.5;2014207008.0;2436217696.5;269909732.5;53919760540.5;6304826738.5;20295307330.0;1797008069.5
2000;01;205;66;86;53;72158071869.44101;8842878499.291994;53869870662.9505;6584237604.479495;3701588750.9069996;335112094.1049999;14586612455.5835;1923528800.7075002;1847819055.662;382358113.51499987;60803426645.279;6914525856.785996;9506826168.5;1545994528.9909992
2001;01;203;67;90;46;70915491523.86652;8102932797.923;53703115353.33299;6212074782.734507;1964086403.465;213214102.636;15248289767.068499;1677643912.5525005;2282745582.433;390229842.09649986;50812530530.82201;5936826119.465004;17820215410.6115;1775876836.3615005
2002;01;208;71;83;54;81513986571.018;8566942380.820505;61779662774.149;6497137765.627504;1925768969.276;223577959.1915;17808554827.593;1846226656.0015006;2451225571.6860003;393885953.05149996;60424412529.7765;6359858146.632505;18638348469.555496;1813198281.1365001
2003;01;208;73;89;46;74546945580.92148;9006919401.1775;56336425886.934006;6903259721.2055;1676381768.7175;217697224.99700004;16534137925.27;1885962454.975;2567681718.2910004;383525953.1654999;55618180699.661995;6740165988.952999;16361083162.9685;1883227459.0589993
2004;01;208;72;94;42;76941713552.2035;10549352243.256487;56228753701.13199;8015990624.593499;1983714897.47;254176472.7955;18729244953.6015;2279185145.8675003;2309771054.0870004;388302836.6105;57290577525.28798;7970530811.423503;17341364972.8285;2190518595.2225013
2005;01;211;67;95;49;89546996608.6315;11698933337.493511;60178097907.90049;8649071056.845499;2184630514.93;268766851.06800014;27184268185.801;2781095429.5799994;1314088041.7395;417737496.9304999;66886939216.87698;8795473143.350998;21345969350.015;2485722697.212
2006;01;211;64;101;46;83400065139.4925;12605169995.730495;58823527908.373505;9246484470.809006;1576601806.1344998;278435798.8525001;22999935424.9845;3080249726.069;1465901892.809;426475771.8635002;61694632840.21402;9548576457.896;20239530406.4695;2630117765.971
