period;cmd;nb_edge_exp;nb_edge_imp;mean_exp;mean_imp;var_exp;var_imp;skew_exp;skew_imp;kurt_exp;kurt_imp
1996;01;1744;1744;12.368794326241135;9.965714285714286;197.04129570947134;201.7588244897959;2.1580695219393973;2.094734112231389;6.92419538688962;3.849303931856804
1997;01;1857;1857;12.547297297297296;11.119760479041917;198.85587107377648;234.65631611029437;2.158170954314078;2.0909985825422925;6.845429872408349;3.843483682466898
1998;01;1888;1888;12.931506849315069;10.666666666666666;217.09119909926812;229.78154425612055;2.336211001767868;2.1265335661777622;8.552853049367226;4.045394217579647
1999;01;2047;2047;13.038216560509554;11.5;229.9603229339933;277.54213483146066;2.159982849187722;2.136286912094348;6.862955366482623;3.994202648167539
2000;01;2236;2236;13.717791411042946;11.83068783068783;244.4234257969814;298.71207413006357;2.1264992428408425;2.2480195771644564;6.568917614013058;4.65771965375012
2001;01;2199;2199;14.006369426751592;11.759358288770054;238.97448172339648;283.86187766307296;2.068367194695495;2.2461200482078763;6.313263585716813;4.65976413192633
2002;01;2311;2311;13.056497175141242;12.099476439790577;246.57307925564172;289.1890573175077;2.22491474746733;2.2457384813441217;7.290870639480657;4.963601445496467
2003;01;2309;2309;13.993939393939394;12.026041666666666;252.30905417814512;281.85869683159723;2.1107896307508467;2.1502758416317285;6.518214140511162;4.182078297223969
2004;01;2356;2356;13.858823529411765;12.207253886010363;251.79183391003454;285.34564686300297;2.0936581466637505;2.1502499160162056;6.434970182397457;4.251168421504625
2005;01;2423;2423;14.508982035928144;12.115;277.93854207752156;284.75177499999995;2.0710653887199295;2.064351916346925;5.995671263040254;3.8775803005530713
2006;01;2504;2504;14.994011976047904;12.457711442786069;292.77241923338954;282.1188584440979;2.008050555751191;2.038860584038507;5.819350606193929;3.848254686704758
2007;01;2564;2564;14.820809248554914;12.82;291.10661899829597;295.51759999999996;2.1327310464453477;2.0944799485696524;7.1076574834527;4.234451088531403
2008;01;2625;2625;15.441176470588236;12.995049504950495;319.4700692041523;298.74750024507404;2.3162709764465617;2.174098405888048;8.732747542018323;4.953511635495596
2009;01;2311;2311;14.626582278481013;11.974093264248705;270.1833440153822;254.72989878922922;2.58079935992721;2.275000267525214;11.49817018573719;5.4351115212467676
2010;01;2412;2412;15.075;12.06;290.969375;265.8464;2.209252711773848;2.3098263192515027;7.5183941961570895;6.056684055006317
2011;01;2413;2413;14.895061728395062;12.125628140703517;285.88404968754764;296.97416731900705;2.383853565032401;2.6588691918623906;9.52692276079391;8.678039410106123
2012;01;2321;2321;14.50625;11.54726368159204;268.5499609375;271.0139352986312;2.340997368656074;2.740460500131453;8.994301247868188;9.463831878704115
2013;01;2383;2383;14.801242236024844;12.096446700507615;274.1344083947379;276.9399366126414;2.2652249153285453;2.4339659665475772;8.767940955174039;7.449633389576052
2014;01;2356;2356;14.365853658536585;11.605911330049262;277.21980963712076;267.2141522482953;2.1322966072934504;2.603065949518171;6.845957993281262;8.645942449663192
2015;01;2418;2418;15.401273885350319;11.911330049261084;281.2975779950505;289.4404135019049;1.946168100345787;2.417005186257737;6.103364549907628;6.8335888555464965
2016;01;2353;2353;15.180645161290322;11.824120603015075;272.0834963579604;255.79318704073128;1.829973476772873;2.2320693104244227;5.236900075796566;5.465846266043515
2017;01;2240;2240;14.08805031446541;10.980392156862745;260.6840710414936;256.6368704344482;1.8682784300009774;2.5800276368617596;4.8741761696599095;8.194259839724667
2018;01;2314;2314;14.929032258064517;11.455445544554456;284.09173777315294;261.9806881678267;1.9503349122069904;2.471021810135396;5.511610705508122;7.529401637654464
2019;01;2278;2278;14.696774193548388;11.622448979591837;267.8886992715921;252.1227613494377;1.865627828540738;2.3777807202887407;5.2399775100057315;6.715519385216089
2020;01;2078;2078;13.946308724832214;10.879581151832461;246.41322462952115;231.92790767796933;1.8558199339001213;2.431378402583722;4.630835157800424;7.005940616549067
2021;01;2253;2253;15.120805369127517;11.378787878787879;262.6297013648034;250.37672176308544;1.720543296061748;2.4159875361402063;3.901889350820549;6.671987799873069
2022;01;2270;2270;14.64516129032258;11.822916666666666;261.9837669094693;263.4582248263889;1.8545966770265312;2.4321748787007613;4.37556772718505;6.786244124397625
2023;01;2154;2154;14.456375838926174;10.824120603015075;264.8655465970001;233.20022221661065;2.0189840021702996;2.47664516877362;5.765475698319429;6.922091501670918
1996;05;3366;3366;20.035714285714285;16.58128078817734;526.3677721088436;416.58822101968025;1.5519560843969948;1.8446527283855938;2.4172721938207617;2.910073637240714
1997;05;3577;3577;20.44;17.364077669902912;570.7264;448.2121076444528;1.5860934842562902;1.748178804460752;2.494641900254284;2.4315520529504653
1998;05;3708;3708;22.20359281437126;17.91304347826087;603.8387894868945;454.8523419449695;1.5062443743278437;1.7466638004097945;2.2893191838638627;2.4614178135862526
