period;cmd;country;nb_edge_exp;nb_edge_imp;primary_value_exp;primary_value_imp;primary_value_deflated_exp;primary_value_deflated_imp;net_wgt_exp;net_wgt_imp
1996;01;Austria;27;36;68325193.0;292465069.0;0.0;0.0;445590705.0;3402473429.0
1996;01;Belgium-Luxembourg (...1998);38;40;92870792.0;155447652.0;0.0;0.0;635693423.0;1698131220.0
1996;01;Canada;43;25;109455103.0;279489022.0;0.0;0.0;258596250.0;986471375.0
1996;01;Chile;23;5;115488824.0;123156.0;236657426.22950822;129911.39240506328;1157420835.0;169299.0
1996;01;China;16;50;27663063.0;451998754.0;29119013.684210524;609162741.2398921;45586200.0;2333097863.0
1996;01;China, Hong Kong SAR;11;42;99499998.0;149922309.0;88053095.57522124;135186933.2732191;247626296.0;562517975.0
1996;01;Czechia;27;22;133234623.0;13504999.0;0.0;0.0;1674716976.0;120297375.0
1996;01;Finland;34;23;63507113.0;311360657.0;0.0;0.0;442888111.0;6021007508.0
1996;01;France;48;59;271438685.0;266445904.0;0.0;0.0;1503110083.0;1156840692.0
1996;01;Gabon;29;3;65733701.0;0.0;82683900.62893082;0.0;417797464.0;0.0
1996;01;Germany;58;63;213264563.0;204300038.0;0.0;0.0;2359584773.0;1003385553.0
1996;01;India;14;47;1678422.0;244433287.0;2676909.090909091;394884147.0113086;5841750.0;645572624.0
1996;01;Italy;33;65;3663721.0;611089206.0;0.0;0.0;5349061.0;3836636617.0
1996;01;Japan;14;59;2897019.0;4418502709.0;0.0;0.0;6316647.0;15177180379.0
1996;01;Malaysia;29;21;347318525.0;22063204.0;269448041.11714506;20677791.940018743;2164946588.0;335424213.0
1996;01;New Zealand;15;10;448879731.0;738496.0;0.0;0.0;3856909035.0;1114224.0
1996;01;Norway;15;23;21534549.0;159595417.0;0.0;0.0;279243187.0;1913712871.0
1996;01;Philippines;8;23;0.0;113442869.0;0.0;100480840.56687334;0.0;680728128.0
1996;01;Portugal;12;32;33505088.0;162843846.0;0.0;0.0;432758809.0;822989516.0
1996;01;Rep. of Korea;7;33;146689.0;952150530.0;80245.62363238512;1111027456.242707;115765.0;7153056337.0
1996;01;Russian Federation;51;13;943867704.0;9410018.0;0.0;0.0;12856483469.0;367542447.0
1996;01;Spain;19;40;11700490.0;211649374.0;0.0;0.0;134504803.0;1468467356.0
1996;01;Sweden;46;31;102533341.0;265871202.0;0.0;0.0;1118535070.0;4468838695.0
1996;01;Switzerland;26;29;95477050.0;37317878.0;0.0;0.0;710588975.0;209597272.0
1996;01;Türkiye;18;40;465858.0;124041186.0;582322.5;182413508.8235294;1695104.0;683582310.0
1996;01;USA;92;58;2219071099.0;94030566.0;2290063053.663571;100460006.41025642;10224344872.0;710323813.0
1996;01;United Kingdom;41;52;17431753.0;118421348.0;0.0;0.0;27182565.0;532537201.0
1997;01;Austria;29;42;73496220.0;319339801.0;0.0;0.0;575359216.0;4009004249.0
1997;01;Belgium-Luxembourg (...1998);38;43;100750367.0;158813598.0;0.0;0.0;707506056.0;1941601849.0
1997;01;Cameroon;39;3;77836043.0;0.0;148542066.79389313;0.0;501702735.0;0.0
1997;01;Canada;43;26;100873567.0;340402469.0;0.0;0.0;231315000.0;1400598750.0
1997;01;Chile;18;5;119746842.0;4442.0;251568995.7983193;4812.567713976165;1663076620.0;4554.0
1997;01;China;21;55;27347588.0;668218308.0;28516775.80813347;928080983.3333333;45296686.0;3262898459.0
1997;01;China, Hong Kong SAR;12;47;157568129.0;222020476.0;141953269.36936936;205765037.9981464;427040250.0;755905447.0
1997;01;Estonia;26;10;96969360.0;4029486.0;0.0;0.0;1830976231.0;70277790.0
1997;01;Finland;38;21;60244703.0;292441715.0;0.0;0.0;495454783.0;6320931767.0
1997;01;France;47;55;248153863.0;261803225.0;0.0;0.0;1783778477.0;1340936330.0
1997;01;Gabon;35;0;334534999.0;0.0;474517729.0780142;0.0;1810032890.0;0.0
1997;01;Germany;56;72;255745877.0;237550359.0;0.0;0.0;3291194167.0;1284060000.0
1997;01;India;13;62;603515.0;373718298.0;846444.6002805049;609654646.0032626;1791000.0;981355580.0
1997;01;Italy;39;70;4455600.0;569741205.0;0.0;0.0;5384877.0;4363097411.0
1997;01;Japan;13;59;1032584.0;3712681658.0;0.0;0.0;3669062.0;14497313481.0
1997;01;Latvia;19;9;64422489.0;4017077.0;0.0;0.0;1773679368.0;31102097.0
1997;01;Malaysia;33;23;707094933.0;31553363.0;599232994.0677967;32066425.81300813;4025156690.0;348142855.0
1997;01;New Zealand;19;11;409888043.0;460729.0;0.0;0.0;3828813017.0;821488.0
1997;01;Norway;12;24;23129854.0;159968108.0;0.0;0.0;370625487.0;2206763867.0
1997;01;Philippines;3;21;0.0;101836421.0;0.0;88553409.56521739;0.0;576721010.0
1997;01;Portugal;11;31;33047017.0;184220203.0;0.0;0.0;550920349.0;1318794007.0
1997;01;Rep. of Korea;5;41;23353.0;869833661.0;14076.55213984328;1081882662.9353235;66026.0;7334551665.0
1997;01;Russian Federation;58;19;1025092191.0;6885603.0;0.0;0.0;14632969733.0;226853959.0
1997;01;Spain;28;55;20378812.0;208043909.0;0.0;0.0;333622755.0;1603777818.0
1997;01;Sweden;37;26;73692370.0;354554943.0;0.0;0.0;937788093.0;6717557435.0
1997;01;Switzerland;21;38;93741124.0;34996548.0;0.0;0.0;814990211.0;203210292.0
1997;01;USA;93;56;1784488410.0;91692520.0;1973991603.9823008;105151972.47706422;9605286715.0;545700000.0
1997;01;United Kingdom;42;50;16366614.0;104591413.0;0.0;0.0;25747070.0;403642493.0
1998;01;Austria;25;34;70465570.0;340186500.0;0.0;0.0;584075700.0;4096208530.0
1998;01;Belgium-Luxembourg (...1998);41;44;103215367.0;141420118.0;0.0;0.0;712369948.0;1811576958.0
1998;01;Canada;40;24;169438409.0;357537969.0;0.0;0.0;223017756.0;1142318226.0
1998;01;China;13;68;11773410.0;596040355.0;12755590.465872156;863826601.4492754;22571562.0;3534058172.0
1998;01;China, Hong Kong SAR;12;54;219660412.0;236294557.0;205674543.07116106;229858518.48249027;559633125.0;677934896.0
1998;01;Czechia;21;23;131146890.0;35930341.0;0.0;0.0;1714423390.0;593936358.0
1998;01;Estonia;23;11;130096755.0;10932689.0;0.0;0.0;2461016730.0;198818930.0
1998;01;Finland;34;23;62961847.0;399522143.0;0.0;0.0;590062949.0;8548841647.0
1998;01;France;54;57;282226370.0;284899314.0;0.0;0.0;2022473412.0;1426513245.0
1998;01;Gabon;32;0;232710846.0;0.0;468231078.47082496;0.0;1371290419.0;0.0
1998;01;Germany;54;63;348674000.0;281887000.0;0.0;0.0;3958009802.0;1693971500.0
1998;01;India;15;52;596207.0;333508980.0;913027.5650842267;615330221.4022139;2266500.0;1172813852.0
1998;01;Italy;50;74;7511114.0;558252756.0;0.0;0.0;9574254.0;4146531340.0
1998;01;Japan;10;59;383957.0;2110923114.0;0.0;0.0;93000.0;10781501872.0
1998;01;Latvia;18;9;89456807.0;6758192.0;0.0;0.0;2320804171.0;70653258.0
1998;01;Malaysia;36;22;413157678.0;18880243.0;389404032.04524034;20522003.260869566;3460003353.0;287406020.0
1998;01;New Zealand;24;13;215336308.0;213340.0;0.0;0.0;3808210215.0;460013.0
1998;01;Norway;11;23;21386444.0;180245633.0;0.0;0.0;362622626.0;2748019601.0
1998;01;Portugal;12;34;33650573.0;255734814.0;0.0;0.0;570891254.0;1682369163.0
1998;01;Rep. of Korea;7;30;97824.0;348466477.0;73996.97428139183;523222938.4384385;111058.0;3679849109.0
1998;01;Russian Federation;55;20;935908313.0;5570811.0;0.0;0.0;16683920753.0;148520740.0
1998;01;Spain;30;52;25829372.0;230141959.0;0.0;0.0;391551703.0;1815849618.0
1998;01;Sweden;47;33;73749134.0;430003271.0;0.0;0.0;1061087195.0;8305673336.0
1998;01;Switzerland;23;39;93528647.0;37822692.0;0.0;0.0;798225672.0;246460328.0
1998;01;Türkiye;21;36;686136.0;112969132.0;941201.646090535;189228026.80067003;1907338.0;689228247.0
1998;01;USA;102;53;1328398306.0;116287041.0;1523392552.7522936;139936270.75812274;8226643005.0;877466102.0
1998;01;United Kingdom;41;49;14674406.0;93773286.0;0.0;0.0;22851771.0;285933062.0
1999;01;Austria;24;39;83023782.0;464124185.0;0.0;0.0;742885669.0;5692766154.0
1999;01;Belgium;39;47;115376919.0;167361956.0;0.0;0.0;901910106.0;2311897157.0
1999;01;Canada;42;31;249308989.0;357405610.0;0.0;0.0;215054250.0;1304418750.0
1999;01;China;19;71;7039197.0;1242934994.0;7847488.294314381;1745695216.2921348;15153550.0;7339667805.0
1999;01;China, Hong Kong SAR;16;53;202922029.0;212744931.0;195493284.20038536;211056479.1666667;624049925.0;868742094.0
1999;01;Czechia;23;29;143962308.0;35978971.0;0.0;0.0;2019768973.0;681391938.0
1999;01;Estonia;29;12;144703168.0;15654235.0;0.0;0.0;2827010225.0;282163130.0
1999;01;Finland;35;21;61196057.0;391852974.0;0.0;0.0;621410298.0;9354810779.0
1999;01;France;57;61;276597640.0;281472648.0;0.0;0.0;2071258315.0;1475704374.0
1999;01;Gabon;38;0;253147572.0;0.0;514527585.36585367;0.0;1378165503.0;0.0
1999;01;Germany;65;74;385773042.0;315881865.0;0.0;0.0;3857187991.0;2204531674.0
1999;01;India;16;59;353422.0;422391580.0;574669.918699187;739740070.0525393;1642500.0;1429423046.0
1999;01;Italy;43;78;9108095.0;525770975.0;0.0;0.0;13403377.0;4039185462.0
1999;01;Japan;12;63;517868.0;2322455500.0;0.0;0.0;1351250.0;11690559647.0
1999;01;Latvia;25;15;89905005.0;6759486.0;0.0;0.0;2468993544.0;120137950.0
1999;01;Malaysia;35;27;620798504.0;48788413.0;608029876.5915769;54149182.01997781;4288214128.0;465758474.0
1999;01;New Zealand;21;11;282975805.0;526957.0;0.0;0.0;5338156344.0;1071305.0
1999;01;Norway;11;26;24119154.0;149798116.0;0.0;0.0;421611949.0;2359631706.0
1999;01;Portugal;9;41;32196941.0;176513361.0;0.0;0.0;558541380.0;1133095970.0
1999;01;Rep. of Korea;7;39;225071.0;518939931.0;173665.8950617284;779189085.5855857;576300.0;5659032040.0
1999;01;Russian Federation;62;9;1202573019.0;3898081.0;0.0;0.0;22948787995.0;106352031.0
1999;01;Spain;30;55;19457342.0;243048172.0;0.0;0.0;282768583.0;2144912295.0
1999;01;Switzerland;28;46;97444531.0;36863982.0;0.0;0.0;868956343.0;295386627.0
1999;01;Thailand;13;26;64037.0;93936495.0;79351.92069392813;129567579.31034483;60750.0;539101463.0
1999;01;Türkiye;20;35;480519.0;96548136.0;702513.1578947367;169979112.67605633;2548045.0;839980377.0
1999;01;USA;100;66;1339081058.0;161508809.0;1564347030.373832;198170317.791411;8349441353.0;1183269361.0
1999;01;Ukraine;41;7;71736860.0;4677268.0;0.0;0.0;854840428.0;67092895.0
2000;01;Austria;30;48;62844626.0;428938615.0;98194728.125;713708178.0366056;682101100.0;7270651000.0
2000;01;Belgium;37;60;92222448.0;154808016.0;154476462.31155777;256729711.44278607;0.0;0.0
2000;01;Canada;42;23;325509978.0;388299739.0;439878348.6486486;489042492.443325;3654344.0;7025163.0
2000;01;China;24;76;7731378.0;1653957489.0;8706506.756756756;2253348077.6566753;0.0;0.0
2000;01;China, Hong Kong SAR;14;57;184889826.0;190155276.0;179853916.34241247;188646107.14285713;0.0;0.0
2000;01;Czechia;23;30;89093696.0;40614199.0;151006264.40677965;64262973.10126582;1533048373.0;884676304.0
2000;01;Denmark;43;39;68971852.0;47270786.0;115919078.99159664;75876060.9951846;754085762.0;512250276.0
2000;01;Estonia;21;14;133975381.0;14636179.0;217846147.96747968;24765108.29103215;3674295303.0;309333392.0
2000;01;Finland;34;18;42779953.0;350591086.0;63097275.81120945;567299491.9093851;463883354.0;9294101786.0
2000;01;France;67;67;366868543.0;266094481.0;609416184.385382;441284379.7678276;4131559200.0;1470084800.0
2000;01;Gabon;36;1;285064195.0;0.0;601401255.2742616;0.0;1696857405.0;0.0
2000;01;Germany;66;80;360338000.0;297999000.0;572874403.8155802;470029968.4542587;3935141200.0;2512230300.0
2000;01;India;21;64;1070801.0;461295503.0;1755411.475409836;775286559.6638656;0.0;0.0
2000;01;Italy;48;84;10360893.799;507063777.647;17832863.681583475;852208029.6588235;16781408.0;4652839017.0
2000;01;Japan;16;60;694573.0;2330412955.0;587128.4868977177;2953628586.8187575;0.0;0.0
2000;01;Latvia;21;18;93544573.44399999;5447557.331;162122310.9948007;8304203.24847561;3585629332.0;112617886.0
2000;01;Malaysia;32;30;579711153.0;62818321.0;584975936.4278506;68280783.69565217;0.0;0.0
2000;01;New Zealand;23;9;317582560.0;785694.0;533752201.6806723;1114459.574468085;5692517411.0;1467400.0
2000;01;Norway;15;27;20522909.911;145851394.367;31769210.388544895;214172385.26725405;407766189.0;2622063855.0
2000;01;Portugal;9;39;27575492.0;158546635.0;43221774.29467085;258640513.86623168;573969164.0;1129451467.0
2000;01;Rep. of Korea;6;44;310612.0;559271526.0;239669.75308641978;731073890.1960784;501487.0;5755745165.0
2000;01;Russian Federation;55;13;1336591262.0;5726075.0;2176858732.8990226;7574173.280423281;25404916901.0;154298692.0
2000;01;Spain;28;59;15821498.734;269640419.31;26325289.07487521;452416810.9228188;253000373.0;3042936492.27
2000;01;Sweden;43;34;61089082.0;485454835.0;91725348.34834835;757339836.1934477;958178000.0;10866906134.0
2000;01;Switzerland;41;39;160690797.577;29219827.12;235272031.59150806;43288632.77037037;2525382377.0;239730291.0
2000;01;Thailand;13;28;7182.0;125697222.0;9079.646017699117;164740788.9908257;0.0;13506646.0
2000;01;Türkiye;28;38;1020055.0;117543738.0;1566904.761904762;198889573.6040609;2004017.0;1076754372.0
2000;01;USA;103;71;1429673328.0;218672753.0;1771590245.35316;270969954.15117717;0.0;0.0
2000;01;Ukraine;43;12;68265330.0;3996630.0;122779370.50359713;6186733.746130031;1011680663.0;75527063.0
