period;cmd;weight;tot_exp;tot_imp;hhi_exp;hhi_imp;shannon_exp;shannon_imp
1996;01;primary_value;6032548693.0;10214771948.0;0.1750469931380723;0.20828066615714372;2.5053903843945675;2.4502168758381546
1997;01;primary_value;6353434048.0;9977104457.0;0.1303627366837528;0.16322155976005093;2.6494654244790783;2.6192979480001757
1998;01;primary_value;5517834472.0;7998116622.0;0.10783412322223399;0.09979608665712922;2.8264562738663095;2.8971259963005975
1999;01;primary_value;6318937663.0;8943645713.0;0.10542574870369983;0.10752799218063329;2.8126780952153037;2.828445196158319
2000;01;primary_value;6706243390.796;9921606484.127;0.10808337517486957;0.10251466085717569;2.8050568601761037;2.861739112215093
2001;01;primary_value;5932799433.986;9058394945.783;0.11781143338562403;0.09844418734867762;2.770365965223919;2.882116216859225
2002;01;primary_value;6377907434.394;9184385696.693;0.12232130864400578;0.10408857772115328;2.724727029098152;2.867708503510953
2003;01;primary_value;6588765858.643;10192402997.856;0.12727667963688968;0.1048536552318937;2.73143418894044;2.8441602705474356
2004;01;primary_value;7788665088.015;11822950999.459;0.13899960885945215;0.10554153848224045;2.70354207077535;2.8243608502890485
2005;01;primary_value;8955550022.334;12566669720.606;0.14457818674639794;0.10666476616877299;2.6638170371827665;2.855238449829265
2006;01;primary_value;9592220900.343;13586750740.619;0.15398359247446933;0.12084266291546673;2.643048117243841;2.7979343765630866
2007;01;primary_value;12124865007.861;16869498425.726;0.14857595382497057;0.13127904933966725;2.7361785523238327;2.7646532588717885
2008;01;primary_value;11229360869.043;16002233299.36;0.13213535774732624;0.13565208017241512;2.813442764990102;2.7430060108094105
2009;01;primary_value;7919348158.31;10884148754.919;0.10245649530338828;0.17014921552513998;2.9143942892612857;2.561237527438457
2010;01;primary_value;10351974648.114;14497366386.658;0.08651159011967921;0.1997548067770681;3.0371145836600197;2.464750950435984
2011;01;primary_value;12527118586.304;18069747111.475;0.08038628692801722;0.2323419836422805;3.1151439706731803;2.3331258043906113
2012;01;primary_value;12125611188.952;16307740998.681;0.0843485898634416;0.22398217333865594;3.028934089023078;2.3457942977659796
2013;01;primary_value;13109195980.028;19284555868.833;0.08406277227788972;0.2534495470705831;3.0627101004221555;2.2509263292130135
2014;01;primary_value;13361965589.694;21817614928.992;0.0836104588580456;0.30708354635361607;3.0887626614915087;2.0829219481020185
2015;01;primary_value;10319480495.232;16153111392.968;0.0830911404574921;0.2649604998600289;3.1144107994592325;2.2339602228414788
2016;01;primary_value;10622234263.588;12697828232.19;0.08756085060060946;0.17996675979353544;3.0455274108673622;2.532462214345064
2017;01;primary_value;10035045377.039;17134483623.247;0.08667549447769943;0.3449719254237159;3.103724492880108;1.9511677852346627
2018;01;primary_value;11354096229.56;18479922655.494;0.08241899470297441;0.3610834799664254;3.104727202389812;1.94791644572727
2019;01;primary_value;11586764788.882;16263373226.096;0.08269065849219856;0.3443774639680994;3.06764858027671;2.0072731346661032
2020;01;primary_value;10690644480.699;14414231143.465;0.08389739856297691;0.3479857211515096;3.0197529239625895;2.0147963317304307
2021;01;primary_value;13725593125.645;19501872105.134;0.08990323143949787;0.3613473591702708;2.9974107825326013;1.9790662264733634
