period;cmd;tot_nb_nodes;nb_pure_exp;nb_pure_imp;nb_mixed
1996;12;192;17;52;123
1997;12;189;22;42;125
1998;12;192;16;46;130
1999;12;198;20;42;136
2000;12;205;16;43;146
2001;12;203;16;47;140
2002;12;208;17;31;160
2003;12;207;17;43;147
2004;12;207;14;38;155
2005;12;211;11;45;155
2006;12;211;10;45;156
2007;12;210;11;39;160
2008;12;214;12;44;158
2009;12;208;15;50;143
2010;12;213;14;53;146
2011;12;211;12;49;150
2012;12;210;9;50;151
2013;12;212;15;53;144
2014;12;213;11;51;151
2015;12;213;11;60;142
2016;12;208;9;57;142
2017;12;211;9;56;146
2018;12;210;8;56;146
2019;12;207;12;54;141
2020;12;200;10;53;137
2021;12;202;6;55;141
2022;12;198;8;44;146
2023;12;209;11;60;138
